msisdn,category,applicationtype,age,gender,arpu,income,device,download,num_downloads,purchase_value
5618277816,Communication,Playstore,54,0,13636.36364,99695,3,1,40551,4824
5618276968,e-Book,Playstore,25,0,0,53221,4,1,41330,0
5618276504,Music,Playstore,37,1,0,94389,4,1,51333,0
5618268296,e-Book,Playstore,69,0,0,41463,2,1,48470,0
5618240360,Travel,Playstore,35,0,0,56809,3,0,0,0
5618240280,News,Playstore,68,1,30909.09091,13092,4,0,0,0
5618238504,Lifestyle,Playstore,21,0,0,39212,4,1,89958,5161
5618238312,Games,Playstore,31,1,0,24205,2,1,40025,3190
5618238104,e-Book,Playstore,69,1,0,42578,2,1,88321,9916
5618238024,Travel,Playstore,44,0,0,41168,2,0,0,0
5618237368,Games,Playstore,24,1,0,92912,4,1,28806,8662
5618237176,Lifestyle,Playstore,69,0,0,41358,2,0,0,0
5618237016,Games,Playstore,70,0,0,30113,3,0,0,0
5618233896,ecommerce,Playstore,30,0,0,35933,2,1,28906,7418
5618232824,News,Playstore,39,0,13636.36364,42771,4,1,59041,4388
5618228696,Education,Playstore,32,1,0,49920,4,1,37545,7780
5618226680,Games,Playstore,47,1,0,97435,2,0,0,0
5618226232,ecommerce,Playstore,65,0,0,31410,4,0,0,0
5618220456,Banking,Playstore,20,0,0,66228,2,1,77956,0
5618212680,Education,Playstore,61,1,0,25705,3,0,0,0
5618212616,Others,Playstore,49,1,0,44255,3,0,0,0
5618190232,News,Playstore,45,0,22727.27273,66270,2,1,47315,3609
5618190056,Lifestyle,Playstore,72,1,0,79283,3,1,91486,5753
5618189896,Lifestyle,Playstore,28,1,0,78559,3,0,0,0
5618188824,Education,Playstore,62,1,0,90874,2,1,97261,0
5618188568,News,Playstore,59,1,22727.27273,49440,4,1,84944,0
5618187480,Lifestyle,Playstore,19,1,0,74240,3,0,0,0
5618187016,e-Book,Playstore,52,1,13636.36364,64558,4,1,45512,8891
5618185384,e-Book,Playstore,76,0,0,76918,4,1,80448,0
5618183640,Lifestyle,Playstore,75,1,91590.90909,26146,4,1,57604,7145
5618183368,Music,Playstore,21,0,0,62025,2,0,0,0
5618174568,Games,Playstore,77,0,54545.45455,77132,4,1,56482,0
5618172696,Lifestyle,Playstore,38,0,0,60704,3,0,0,0
5618172104,Music,Playstore,61,1,0,19180,3,1,74420,0
5618169768,Video,Playstore,23,1,0,59956,3,1,87160,9470
5618169720,Video,Playstore,38,0,0,72562,4,0,0,0
5618168056,Others,Playstore,68,1,0,20146,2,1,75940,0
5618164936,Sports,Playstore,25,0,0,87519,4,0,0,0
5618159032,e-Book,Playstore,16,1,0,20277,2,0,0,0
5618157976,Sports,Playstore,29,1,0,15406,2,1,60982,4127
5618138184,Video,Playstore,18,0,0,46249,4,1,14243,9134
5618132520,Games,Playstore,24,0,0,98625,4,0,0,0
5618131096,Video,Playstore,43,1,0,31341,2,1,59867,0
5618130968,News,Playstore,39,0,0,30090,3,1,63129,8800
5618126792,e-Book,Playstore,27,0,0,74437,3,1,98227,3901
5618125880,Banking,Playstore,49,0,0,26119,4,1,19859,9833
5618121624,ecommerce,Playstore,59,1,0,38977,4,1,20484,0
5618119256,Others,Playstore,77,1,0,52232,2,0,0,0
5618119224,News,Playstore,67,1,0,95068,4,1,73455,0
5618117464,Communication,Playstore,29,1,13636.36364,11518,3,0,0,0
5618116760,ecommerce,Playstore,77,0,54545.45455,28348,3,0,0,0
5618110472,e-Book,Playstore,27,0,0,73202,4,0,0,0
5618110168,News,Playstore,71,0,0,24488,2,1,70562,0
5618109848,Travel,Playstore,29,0,31818.18182,78833,2,1,91475,9542
5618109320,Travel,Playstore,60,1,0,25734,3,0,0,0
5618107048,Games,Playstore,64,1,0,69146,4,1,13164,0
5618098520,Video,Playstore,52,0,0,10175,2,0,0,0
5618098488,Sports,Playstore,18,0,0,24975,4,1,45209,4653
5618098440,Banking,Playstore,18,1,0,21644,4,1,78686,0
5618098120,Education,Playstore,38,1,0,62143,4,0,0,0
5618095336,Banking,Playstore,33,0,0,10713,3,1,59850,0
5618094968,Travel,Playstore,74,1,0,11757,2,1,28735,0
5618094680,Games,Playstore,17,1,0,98522,2,1,58596,7598
5618081592,ecommerce,Playstore,77,0,0,59172,4,1,10114,8179
5618080984,e-Book,Playstore,77,0,0,14457,4,0,0,0
5618080936,Education,Playstore,45,0,0,26679,2,1,46407,2541
5618080616,e-Book,Playstore,72,1,0,36750,4,1,91668,0
5618073544,Education,Playstore,38,1,0,58572,2,0,0,0
5618073448,Travel,Playstore,71,1,0,49815,2,1,82516,0
5618069544,Communication,Playstore,58,1,0,24539,2,0,0,0
5618060472,Video,Playstore,22,1,0,72599,3,1,51219,4292
5618054632,Travel,Playstore,43,1,18181.81818,48812,3,0,0,0
5618054104,Travel,Playstore,22,0,0,51863,2,0,0,0
5618053992,e-Book,Playstore,40,0,0,14154,2,0,0,0
5618053768,Communication,Playstore,18,0,0,26897,2,1,29877,4403
5618052936,News,Playstore,37,1,0,17206,2,1,41662,0
5618052584,Music,Playstore,15,0,0,67934,3,1,62047,3771
5618043992,Travel,Playstore,71,0,0,38541,2,0,0,0
5618043864,Education,Playstore,38,0,0,22171,2,0,0,0
5618043752,Travel,Playstore,60,1,0,95043,3,1,74371,5219
5618043592,News,Playstore,23,1,0,85794,2,1,22783,0
5618041704,Travel,Playstore,65,0,0,64263,3,0,0,0
5618040744,Music,Playstore,53,1,0,18117,2,1,50293,0
5618037368,Games,Playstore,23,1,0,88888,2,0,0,0
5618036952,Education,Playstore,24,0,0,34596,4,0,0,0
5618036936,Education,Playstore,32,0,0,97996,2,0,0,0
5618035976,Music,Playstore,71,1,0,89193,4,1,44007,0
5618032344,Music,Playstore,65,1,54545.45455,75684,3,1,50184,0
5618024056,Education,Playstore,58,1,0,27305,2,1,83052,1199
5618023464,Others,Playstore,78,1,0,15922,4,0,0,0
5618016072,Music,Playstore,49,0,0,46200,4,1,14196,0
5618009688,Video,Playstore,78,0,13636.36364,58657,3,1,78824,0
5618008296,Communication,Playstore,57,0,0,43350,2,0,0,0
5618007704,Travel,Playstore,56,0,0,72428,3,1,51098,0
5618007576,Video,Playstore,17,1,0,51477,3,1,58265,8847
5618005464,Education,Playstore,31,1,13636.36364,97656,2,1,90245,6912
5618000728,Music,Playstore,30,0,0,41573,2,0,0,0
5617072728,News,Playstore,42,0,22727.27273,49221,3,1,63147,0
5617061288,Video,Playstore,20,0,0,92718,2,1,96604,0
5617060552,Video,Playstore,26,0,0,86524,3,1,62715,1708
5617059752,Others,Playstore,73,0,0,49240,4,0,0,0
5617059208,Education,Playstore,67,1,31818.18182,88697,4,1,34856,2596
5617056104,News,Playstore,15,1,0,79430,3,0,0,0
5617054984,ecommerce,Playstore,26,0,0,72755,3,0,0,0
5617054216,Lifestyle,Playstore,58,0,271409.0909,39226,2,0,0,0
5617053864,e-Book,Playstore,74,0,0,93210,4,1,49121,9282
5617048936,Video,Playstore,75,1,54545.45455,84491,3,1,22327,0
5617046632,Games,Playstore,53,1,0,37909,2,1,80275,0
5617031320,Communication,Playstore,20,0,0,23780,3,1,39138,0
5617021944,Education,Playstore,58,1,0,63612,2,1,43041,3894
5617017896,Sports,Playstore,29,0,0,42452,3,1,74868,0
5617009816,Travel,Playstore,15,0,0,58327,2,1,39338,6230
5617006520,News,Playstore,19,1,0,31020,2,1,73923,0
5617004232,Sports,Playstore,58,1,0,70249,3,0,0,0
5616078312,Travel,Playstore,47,1,0,16641,2,0,0,0
5616077640,Video,Playstore,66,0,31818.18182,12927,3,1,78227,0
5616063144,Communication,Playstore,33,0,0,90884,4,1,81776,0
5616062536,Sports,Playstore,53,0,115909.0909,86055,4,0,0,0
5616058808,Games,Playstore,36,1,0,12366,4,0,0,0
5616057160,Others,Playstore,65,0,0,58988,2,1,49593,0
5616051032,Others,Playstore,41,0,0,12208,2,1,63894,0
5616050744,Games,Playstore,23,1,0,30376,2,1,74417,7934
5616049960,Others,Playstore,46,1,0,50781,3,0,0,0
5616045688,Games,Playstore,68,0,0,19014,3,1,71439,4063
5616045256,Banking,Playstore,34,0,0,72421,4,1,74255,0
5616045208,Games,Playstore,20,1,0,77832,2,0,0,0
5616032280,Communication,Playstore,56,1,0,41461,3,1,58020,0
5616027928,Video,Playstore,71,0,0,69173,4,1,88664,6978
5616024120,e-Book,Playstore,57,0,0,34737,3,0,0,0
5616024104,Sports,Playstore,57,0,0,59514,2,0,0,0
5616004168,Sports,Playstore,69,0,0,95202,4,0,0,0
5616002248,News,Playstore,37,1,18181.81818,18881,3,1,30697,0
5614803912,Travel,Playstore,58,1,0,28279,3,0,0,0
5614727224,ecommerce,Playstore,25,1,115909.0909,32599,2,1,35485,0
5614718760,Lifestyle,Playstore,71,1,0,90855,4,0,0,0
5614629048,Music,Playstore,30,0,7518.181818,11541,3,0,0,0
655642452,Music,Playstore,64,1,NA,72952,4,0,0,0
655606516,Others,Playstore,20,1,96363.63636,67690,4,0,0,0
655598580,Games,Playstore,66,1,0,73112,3,1,14262,1600
655584260,Games,Playstore,51,1,0,78822,4,1,70850,0
655570148,Games,Playstore,80,0,0,61890,3,0,0,0
655562340,Banking,Playstore,80,0,292618.1818,34978,4,0,0,0
655543828,News,Playstore,27,0,13627.27273,94874,2,1,79035,0
655514692,Others,Playstore,78,1,0,12954,2,1,85264,5303
655499572,Games,Playstore,25,1,NA,47731,4,1,80166,2963
655438596,e-Book,Playstore,75,0,100181.8182,33367,3,0,0,0
655385716,ecommerce,Playstore,63,0,NA,62632,2,0,0,0
655385652,Sports,Playstore,80,1,NA,67994,2,1,10230,8682
655347924,Video,Playstore,28,1,0,66701,4,0,0,0
655346004,Others,Playstore,42,0,NA,32058,3,0,0,0
655284676,Others,Playstore,35,0,467180,44514,4,0,0,0
655281204,Communication,Playstore,27,1,140715.4545,78688,4,1,36891,0
655226116,Others,Playstore,19,0,27272.72727,59753,4,1,28660,8940
655164804,Education,Playstore,62,0,NA,33715,3,0,0,0
655025684,Sports,Playstore,27,0,91636.36364,61185,3,0,0,0
654847428,Communication,Playstore,48,0,59090.90909,90440,3,0,0,0
654831396,Games,Playstore,34,0,109090.9091,64052,2,0,0,0
654831316,ecommerce,Playstore,39,0,0,29545,4,0,0,0
654775460,Sports,Playstore,21,1,0,11613,3,1,97319,5662
654711460,Others,Playstore,63,0,0,63192,2,1,98160,9337
654537428,Others,Playstore,67,1,0,71856,4,0,0,0
654529716,Music,Playstore,56,0,0,67314,2,1,62261,0
654486388,Video,Playstore,30,0,115909.0909,84998,3,1,81640,1579
654449812,e-Book,Playstore,72,1,0,35425,2,0,0,0
654439156,Education,Playstore,53,1,38146.36364,70237,3,1,36930,0
654430420,ecommerce,Playstore,72,0,0,88113,2,1,16104,8253
654421524,ecommerce,Playstore,71,1,126581.8182,36704,3,1,24086,4616
654290468,Banking,Playstore,28,0,71818.18182,27870,4,1,40846,0
654261636,e-Book,Playstore,55,0,0,53697,2,0,0,0
654261428,News,Playstore,70,1,0,30005,3,0,0,0
654228148,e-Book,Playstore,71,0,0,57184,4,0,0,0
654201508,Travel,Playstore,57,1,0,26132,3,0,0,0
654125092,Others,Playstore,24,0,0,41651,4,1,25794,0
654007012,Education,Playstore,42,1,0,97622,4,0,0,0
653996420,Music,Playstore,32,1,0,40440,4,0,0,0
653895380,News,Playstore,42,1,306420.9091,34742,2,0,0,0
653894420,Music,Playstore,18,1,0,80840,3,1,17382,9387
653893588,Video,Playstore,54,1,0,97931,3,1,53187,8198
653874516,Video,Playstore,50,1,0,34380,3,0,0,0
653846516,Education,Playstore,28,0,0,96121,2,0,0,0
653825716,Sports,Playstore,75,0,0,19287,3,1,68595,7535
653824468,Video,Playstore,64,1,0,45027,2,0,0,0
653796212,Education,Playstore,41,0,0,32480,3,0,0,0
653794980,ecommerce,Playstore,40,0,0,47138,3,0,0,0
653790788,News,Playstore,27,0,0,82093,4,0,0,0
653571156,Education,Playstore,53,0,0,82259,2,1,76773,0
653523284,Communication,Playstore,68,1,0,34296,4,0,0,0
653471716,News,Playstore,56,0,0,64209,4,0,0,0
653471156,Games,Playstore,72,1,72727.27273,25395,2,0,0,0
653381492,Communication,Playstore,65,1,354454.5455,44710,3,0,0,0
653359092,Travel,Playstore,40,1,0,95348,3,0,0,0
653354004,Others,Playstore,63,0,0,63178,2,1,65668,0
653294580,Video,Playstore,72,1,50000,46143,3,0,0,0
653281940,Others,Playstore,20,0,0,36034,4,0,0,0
653240996,Games,Playstore,47,0,115909.0909,72898,3,1,81445,9606
653203444,Communication,Playstore,70,0,54545.45455,57608,4,0,0,0
653108356,Music,Playstore,51,1,0,52034,2,1,72273,8248
653106484,e-Book,Playstore,46,0,0,77150,3,1,15582,6762
653057028,Education,Playstore,44,0,0,87784,2,0,0,0
653035092,Communication,Playstore,34,1,0,21785,4,1,53241,9068
652979268,Banking,Playstore,78,0,63518.18182,56639,2,0,0,0
652899156,ecommerce,Playstore,25,1,0,54552,3,1,57822,0
652896948,Banking,Playstore,61,1,22727.27273,90409,3,1,23728,0
652889524,Banking,Playstore,17,1,0,84716,2,0,0,0
652874324,Travel,Playstore,54,0,0,11380,3,1,26180,0
652869732,Lifestyle,Playstore,29,0,0,74695,4,1,17218,5842
652865732,Others,Playstore,79,0,572909.0909,81417,4,0,0,0
652863236,Sports,Playstore,61,1,NA,77723,4,0,0,0
652776244,Travel,Playstore,34,0,0,94476,3,1,65385,0
652634388,Travel,Playstore,15,0,0,92453,2,1,90848,0
652634340,Travel,Playstore,55,1,0,79347,3,1,10279,0
652566420,e-Book,Playstore,34,0,0,15243,2,0,0,0
652522324,Sports,Playstore,53,0,0,30339,4,0,0,0
652518116,Banking,Playstore,31,1,NA,83184,4,1,52517,6499
652374308,Communication,Playstore,54,1,NA,92444,3,0,0,0
652361764,Travel,Playstore,37,1,0,94119,2,0,0,0
652342276,News,Playstore,75,0,0,49489,3,0,0,0
652309364,Lifestyle,Playstore,63,0,0,92685,2,0,0,0
652294932,e-Book,Playstore,34,0,NA,58724,4,0,0,0
652293092,Lifestyle,Playstore,56,0,0,69018,2,1,26981,0
652164212,ecommerce,Playstore,41,0,0,86537,3,0,0,0
652114964,Banking,Playstore,40,0,0,48477,2,1,10501,0
652107588,Sports,Playstore,45,1,0,80031,2,0,0,0
652076116,Others,Playstore,29,0,45454.54545,82679,3,0,0,0
652069204,News,Playstore,76,1,0,20749,3,1,32698,0
651998852,Lifestyle,Playstore,74,0,0,30055,3,1,66236,7456
651971028,Education,Playstore,80,0,0,65448,2,1,98477,6604
651965572,Travel,Playstore,17,1,0,25409,2,0,0,0
651954228,e-Book,Playstore,47,1,0,94916,3,0,0,0
651951124,Lifestyle,Playstore,42,0,0,26464,3,0,0,0
651934932,Others,Playstore,51,0,0,89416,2,1,99314,9960
651911908,News,Playstore,21,1,4545.454545,13336,2,1,13103,0
651892356,News,Playstore,31,0,65175.45455,65973,3,1,79251,9147
651884212,Banking,Playstore,18,0,109090.9091,99190,2,0,0,0
651867012,Lifestyle,Playstore,77,1,0,97357,2,1,77509,0
651839332,Education,Playstore,33,1,0,26629,3,1,66280,0
651826356,Travel,Playstore,17,0,0,60646,2,0,0,0
651822132,Sports,Playstore,15,1,0,58203,3,1,96462,0
651766132,Travel,Playstore,65,1,0,77816,4,0,0,0
651732356,e-Book,Playstore,80,0,15454.54545,15341,3,1,27369,7611
651696692,Video,Playstore,20,1,NA,19384,3,0,0,0
651643764,Lifestyle,Playstore,42,1,66357.27273,25635,4,1,92624,0
651603476,Education,Playstore,61,0,54418.18182,54831,3,0,0,0
651586084,News,Playstore,74,0,0,25103,4,0,0,0
651579732,Travel,Playstore,76,0,60181.81818,27288,2,1,29186,0
651547124,Banking,Playstore,62,0,211696.3636,21154,3,1,19061,0
651531972,News,Playstore,35,1,0,75165,2,1,66173,8213
651522420,Music,Playstore,31,1,NA,47983,4,1,92347,0
651507316,Communication,Playstore,52,1,0,46109,3,0,0,0
651464404,Others,Playstore,65,1,50909.09091,67684,4,1,64977,0
651432068,Education,Playstore,51,1,NA,43927,2,1,54313,0
651396724,Others,Playstore,48,0,0,40693,4,0,0,0
651317636,e-Book,Playstore,32,1,10909.09091,37105,3,1,50791,6397
651285028,e-Book,Playstore,23,0,0,49985,4,0,0,0
651258980,e-Book,Playstore,44,0,0,68469,3,1,46252,9100
651254564,ecommerce,Playstore,55,1,0,23828,2,0,0,0
651240820,Video,Playstore,41,1,0,68261,2,1,32744,0
651230228,News,Playstore,27,0,245390.9091,68451,2,0,0,0
651189172,Banking,Playstore,40,1,49054.54545,86708,3,0,0,0
651168740,Communication,Playstore,73,1,NA,68872,4,0,0,0
651164324,Banking,Playstore,62,1,11068.18182,75935,2,1,42683,4715
651141796,News,Playstore,71,1,1245454.545,42315,2,1,44291,1664
651120516,Video,Playstore,18,1,245954.5455,79073,4,0,0,0
651083028,Video,Playstore,35,0,0,58059,3,0,0,0
651024724,Communication,Playstore,66,0,0,72955,2,0,0,0
650995812,Video,Playstore,56,0,1115909.091,76763,4,1,10412,8766
650970676,Others,Playstore,28,0,0,35401,4,0,0,0
650892196,News,Playstore,40,0,NA,57952,2,0,0,0
650736708,Sports,Playstore,34,0,12826.36364,40299,3,1,46853,0
650727668,Video,Playstore,74,1,9090.909091,87661,2,1,73137,0
650707428,Others,Playstore,48,0,NA,28544,2,0,0,0
650703620,News,Playstore,51,1,NA,27500,4,0,0,0
650679652,News,Playstore,26,1,0,21568,3,1,76113,0
650571332,Sports,Playstore,68,0,39954.54545,22707,3,0,0,0
650520228,ecommerce,Playstore,40,1,0,76970,4,0,0,0
650518164,Games,Playstore,58,0,0,22383,3,1,97751,0
650493908,Games,Playstore,16,1,0,36645,2,1,56881,0
650459892,Others,Playstore,23,1,0,42222,3,1,39213,9627
650453188,Music,Playstore,33,0,0,15718,2,1,65033,8437
650443844,e-Book,Playstore,63,1,0,94201,4,1,69769,5369
650438308,Games,Playstore,39,1,0,25695,3,0,0,0
650416692,e-Book,Playstore,70,0,0,43964,2,0,0,0
650390388,Lifestyle,Playstore,32,0,9090.909091,48496,3,1,90482,8997
650388772,Sports,Playstore,15,0,0,64172,3,1,21485,5320
650344420,ecommerce,Playstore,39,0,62909.09091,64263,4,1,29498,0
650292596,Others,Playstore,66,1,88045.45455,57123,4,0,0,0
650257028,e-Book,Playstore,47,0,0,35486,2,1,59868,0
650244196,Banking,Playstore,67,0,65318.18182,23675,2,0,0,0
650212724,Others,Playstore,24,1,NA,70479,3,1,35089,2899
650210292,ecommerce,Playstore,50,1,46250,95779,4,1,79577,0
650098292,Others,Playstore,75,1,0,17330,3,1,31876,5019
650088756,e-Book,Playstore,55,1,0,60900,2,1,20068,6909
650082996,Travel,Playstore,47,1,0,24528,3,1,84451,4657
650064580,Education,Playstore,51,1,0,74892,2,0,0,0
650056708,Lifestyle,Playstore,49,1,0,81637,3,1,71104,5310
650033812,Sports,Playstore,32,1,0,26326,3,0,0,0
650030836,Education,Playstore,40,1,0,56451,4,0,0,0
650006404,ecommerce,Playstore,44,1,0,84314,3,0,0,0
650002196,Lifestyle,Playstore,27,1,0,26296,3,0,0,0
649962980,Games,Playstore,59,0,NA,61725,2,0,0,0
649942372,Lifestyle,Playstore,31,0,212118.1818,73661,3,0,0,0
649932340,Games,Playstore,23,1,117795.4545,18151,3,0,0,0
649898276,Music,Playstore,42,1,0,33249,4,1,92149,0
649845124,Games,Playstore,31,0,0,22930,3,0,0,0
649833220,ecommerce,Playstore,41,0,0,91073,4,1,72313,0
649831540,Video,Playstore,60,1,0,20417,3,0,0,0
649823876,Education,Playstore,59,0,0,71115,4,1,76376,0
649760644,Education,Playstore,59,0,40845.45455,13822,3,1,81998,0
649756724,e-Book,Playstore,52,0,0,84107,2,0,0,0
649734388,Sports,Playstore,18,1,0,43259,4,1,40864,5349
649721412,News,Playstore,44,1,0,28039,2,0,0,0
649713652,ecommerce,Playstore,22,1,0,46903,3,1,32733,4951
649684404,News,Playstore,64,0,0,73781,2,1,48817,1313
649674660,News,Playstore,60,1,0,83003,3,1,42472,0
649658948,Video,Playstore,61,1,0,17147,2,0,0,0
649652276,Video,Playstore,16,1,NA,45274,2,1,30835,0
649645892,e-Book,Playstore,40,1,0,67222,3,0,0,0
649643252,Sports,Playstore,23,0,0,37595,3,1,72270,8645
649627476,Video,Playstore,59,0,500,40228,3,1,52399,0
649623540,Others,Playstore,74,1,0,39631,2,0,0,0
649581844,Lifestyle,Playstore,16,0,0,65324,4,1,45603,7561
649525412,Communication,Playstore,76,0,0,91477,4,1,51930,4239
649498964,Music,Playstore,64,0,0,71256,2,0,0,0
649476932,Music,Playstore,66,1,0,28562,3,0,0,0
649467092,Communication,Playstore,26,0,0,26211,2,0,0,0
649455940,Video,Playstore,69,1,13445.45455,66005,4,0,0,0
649430196,Others,Playstore,40,0,0,83367,2,0,0,0
649426612,Sports,Playstore,74,1,0,80789,2,0,0,0
649406884,Communication,Playstore,25,0,0,26539,4,1,29862,6036
649404932,ecommerce,Playstore,78,1,0,87797,3,1,58871,0
649377348,Sports,Playstore,73,0,0,30016,4,1,70940,7540
649329956,Communication,Playstore,26,1,0,46635,4,0,0,0
649326212,Sports,Playstore,47,0,0,37960,2,0,0,0
649311332,Music,Playstore,19,1,NA,35446,3,0,0,0
649307732,Banking,Playstore,26,1,NA,61054,3,1,23619,4318
649300580,News,Playstore,60,0,99577.27273,19603,3,0,0,0
649274756,Video,Playstore,32,0,0,65294,2,0,0,0
649233540,e-Book,Playstore,24,1,0,12484,2,0,0,0
649222852,Lifestyle,Playstore,62,1,0,84130,2,0,0,0
649222708,Music,Playstore,55,1,0,17149,4,0,0,0
649210244,Communication,Playstore,17,0,0,34513,2,0,0,0
649208372,Communication,Playstore,26,1,1795.454545,29348,3,1,35060,9709
649206596,News,Playstore,51,1,818.1818182,11655,2,0,0,0
649202180,Travel,Playstore,78,0,0,44932,4,1,76608,7976
649187124,Education,Playstore,17,1,86338.18182,43363,3,0,0,0
649156692,News,Playstore,31,0,0,70442,3,0,0,0
649100948,Communication,Playstore,72,0,0,96593,2,0,0,0
649088644,e-Book,Playstore,33,1,0,82987,2,1,43874,0
649083364,Video,Playstore,18,0,0,81108,2,1,75441,2670
649059220,Travel,Playstore,69,0,0,70016,2,0,0,0
649049972,Communication,Playstore,22,1,0,14923,3,0,0,0
649041092,Lifestyle,Playstore,39,0,0,53392,4,1,25337,0
649039908,Communication,Playstore,47,1,0,24170,4,0,0,0
649018180,News,Playstore,61,1,0,42065,4,1,16225,3417
648981364,ecommerce,Playstore,62,1,0,99435,2,1,62581,0
